wals_code,iso_code,glottocode,Name,latitude,longitude,genus,family,macroarea,countrycodes,20A Fusion of Selected Inflectional Formatives,21A Exponence of Selected Inflectional Formatives,22A Inflectional Synthesis of the Verb,23A Locus of Marking in the Clause,24A Locus of Marking in Possessive Noun Phrases,25A Locus of Marking: Whole-language Typology,26A Prefixing vs. Suffixing in Inflectional Morphology,27A Reduplication,28A Case Syncretism,29A Syncretism in Verbal Person/Number Marking,25B Zero Marking of A and P Arguments,21B Exponence of Tense-Aspect-Mood Inflection
lai,cnh,haka1240,Lai,22.66666667,93.66666667,Kuki-Chin,Sino-Tibetan,Eurasia,MM,2 Exclusively isolating,1 Monoexponential case,5 8-9 categories per word,3 Double marking,4 No marking,5 Inconsistent or other,1 Little affixation,,4 No syncretism,3 Not syncretic,2 Non-zero marking,1 monoexponential TAM
pte,pck,pait1244,Paite,24,93.16666667,Kuki-Chin,Sino-Tibetan,Eurasia,IN,,,,,,,,,,,,
,zom,zouu1235,Zou,24.06,93.93,Kuki-Chin,Sino-Tibetan,Eurasia,IN MM,,,,,,,,,,,,
zar,dje,zarm1239,Zarma,13.83333333,2.166666667,Songhay,Songhay,Africa,NE,,,,,,,,,,,,
tha,tha,thai1261,Thai,16,101,Kam-Tai,Tai-Kadai,Eurasia,TH,7 Isolating/concatenative,5 No case,2 2-3 categories per word,4 No marking,2 Dependent marking,5 Inconsistent or other,1 Little affixation,1 Productive full and partial reduplication,1 No case marking,1 No subject person/number marking,1 Zero-marking,1 monoexponential TAM
gua,gug,para1311,Guaraní,-26,-56,Tupi-Guaraní,Tupian,South America,PY,1 Exclusively concatenative,5 No case,3 4-5 categories per word,1 Head marking,1 Head marking,1 Head-marking,6 Strong prefixing,3 No productive reduplication,1 No case marking,3 Not syncretic,2 Non-zero marking,1 monoexponential TAM
crg,gui,east2555,Chiriguano,-23.66666667,-64.33333333,Tupi-Guaraní,Tupian,South America,PY AR BO,,,,,,,,,,,,
fin,fin,finn1318,Finnish,62,25,Finnic,Uralic,Eurasia,FI,1 Exclusively concatenative,2 Case + number,2 2-3 categories per word,2 Dependent marking,3 Double marking,5 Inconsistent or other,2 Strongly suffixing,3 No productive reduplication,3 Core and non-core,3 Not syncretic,2 Non-zero marking,1 monoexponential TAM
hun,hun,hung1274,Hungarian,47,20,Ugric,Uralic,Eurasia,HU,1 Exclusively concatenative,1 Monoexponential case,3 4-5 categories per word,2 Dependent marking,1 Head marking,5 Inconsistent or other,2 Strongly suffixing,1 Productive full and partial reduplication,4 No syncretism,3 Not syncretic,2 Non-zero marking,1 monoexponential TAM
,nch,cent2134,Central Huasteca Nahuatl,21.1,-98.44,Aztecan,Uto-Aztecan,North America,MX,,,,,,,,,,,,
nhh,nhe,huas1257,Nahuatl (Huasteca),22,-99,Aztecan,Uto-Aztecan,North America,MX,,,,,,,4 Equal prefixing and suffixing,,,,,
